,abilities,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,attack,base_egg_steps,base_happiness,base_total,capture_rate,classfication,defense,experience_growth,height_m,hp,japanese_name,name,percentage_male,pokedex_number,sp_attack,sp_defense,speed,type1,type2,weight_kg,generation,is_legendary,#_g6,name_g6,total_g6,hp_g6,attack_g6,defense_g6,speed_g6,generation_g6,legendary_g6,sp_attack_g6,sp_defense_g6,type1_g6,type2_g6
10,['Shed Skin'],1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,20.0,3840.0,70.0,205.0,120,Cocoon Pokémon,55.0,1000000.0,0.7,50.0,Transelトランセル,Metapod,50.0,11.0,25.0,25.0,30.0,bug,,9.9,1.0,0.0,11.0,Metapod,205.0,50.0,20.0,55.0,30.0,1.0,0.0,25.0,25.0,Bug,
11,"['Compoundeyes', 'Tinted Lens']",0.5,1.0,1.0,2.0,1.0,0.25,2.0,2.0,1.0,0.25,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,45.0,3840.0,70.0,395.0,45,Butterfly Pokémon,50.0,1000000.0,1.1,60.0,Butterfreeバタフリー,Butterfree,50.0,12.0,90.0,80.0,70.0,bug,flying,32.0,1.0,0.0,12.0,Butterfree,395.0,60.0,45.0,50.0,70.0,1.0,0.0,90.0,80.0,Bug,Flying
12,"['Shield Dust', 'Run Away']",0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,35.0,3840.0,70.0,195.0,255,Hairy Pokémon,30.0,1000000.0,0.3,40.0,Beedleビードル,Weedle,50.0,13.0,20.0,20.0,50.0,bug,poison,3.2,1.0,0.0,13.0,Weedle,195.0,40.0,35.0,30.0,50.0,1.0,0.0,20.0,20.0,Bug,Poison
13,['Shed Skin'],0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,25.0,3840.0,70.0,205.0,120,Cocoon Pokémon,50.0,1000000.0,0.6,45.0,Cocoonコクーン,Kakuna,50.0,14.0,25.0,25.0,35.0,bug,poison,10.0,1.0,0.0,14.0,Kakuna,205.0,45.0,25.0,50.0,35.0,1.0,0.0,25.0,25.0,Bug,Poison
14,"['Swarm', 'Sniper']",0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,150.0,3840.0,70.0,495.0,45,Poison Bee Pokémon,40.0,1000000.0,1.0,65.0,Spearスピアー,Beedrill,50.0,15.0,15.0,80.0,145.0,bug,poison,29.5,1.0,0.0,15.0,Beedrill,395.0,65.0,90.0,40.0,75.0,1.0,0.0,45.0,80.0,Bug,Poison
15,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,45.0,3840.0,70.0,251.0,255,Tiny Bird Pokémon,40.0,1059860.0,0.3,40.0,Poppoポッポ,Pidgey,50.0,16.0,35.0,35.0,56.0,normal,flying,1.8,1.0,0.0,16.0,Pidgey,251.0,40.0,45.0,40.0,56.0,1.0,0.0,35.0,35.0,Normal,Flying
16,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,60.0,3840.0,70.0,349.0,120,Bird Pokémon,55.0,1059860.0,1.1,63.0,Pigeonピジョン,Pidgeotto,50.0,17.0,50.0,50.0,71.0,normal,flying,30.0,1.0,0.0,17.0,Pidgeotto,349.0,63.0,60.0,55.0,71.0,1.0,0.0,50.0,50.0,Normal,Flying
17,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,80.0,3840.0,70.0,579.0,45,Bird Pokémon,80.0,1059860.0,1.5,83.0,Pigeotピジョット,Pidgeot,50.0,18.0,135.0,80.0,121.0,normal,flying,39.5,1.0,0.0,18.0,Pidgeot,479.0,83.0,80.0,75.0,101.0,1.0,0.0,70.0,70.0,Normal,Flying
18,"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,56.0,3840.0,70.0,253.0,255,Mouse Pokémon,35.0,1000000.0,,30.0,Korattaコラッタ,Rattata,50.0,19.0,25.0,35.0,72.0,normal,dark,,1.0,0.0,19.0,Rattata,253.0,30.0,56.0,35.0,72.0,1.0,0.0,25.0,35.0,Normal,
19,"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,71.0,3840.0,70.0,413.0,127,Mouse Pokémon,70.0,1000000.0,,75.0,Rattaラッタ,Raticate,50.0,20.0,40.0,80.0,77.0,normal,dark,,1.0,0.0,20.0,Raticate,413.0,55.0,81.0,60.0,97.0,1.0,0.0,50.0,70.0,Normal,
20,"['Keen Eye', 'Sniper']",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,60.0,3840.0,70.0,262.0,255,Tiny Bird Pokémon,30.0,1000000.0,0.3,40.0,Onisuzumeオニスズメ,Spearow,50.0,21.0,31.0,31.0,70.0,normal,flying,2.0,1.0,0.0,21.0,Spearow,262.0,40.0,60.0,30.0,70.0,1.0,0.0,31.0,31.0,Normal,Flying
21,"['Keen Eye', 'Sniper']",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,90.0,3840.0,70.0,442.0,90,Beak Pokémon,65.0,1000000.0,1.2,65.0,Onidrillオニドリル,Fearow,50.0,22.0,61.0,61.0,100.0,normal,flying,38.0,1.0,0.0,22.0,Fearow,442.0,65.0,90.0,65.0,100.0,1.0,0.0,61.0,61.0,Normal,Flying
22,"['Intimidate', 'Shed Skin', 'Unnerve']",0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,60.0,5120.0,70.0,288.0,255,Snake Pokémon,44.0,1000000.0,2.0,35.0,Arboアーボ,Ekans,50.0,23.0,40.0,54.0,55.0,poison,,6.9,1.0,0.0,23.0,Ekans,288.0,35.0,60.0,44.0,55.0,1.0,0.0,40.0,54.0,Poison,
23,"['Intimidate', 'Shed Skin', 'Unnerve']",0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,95.0,5120.0,70.0,448.0,90,Cobra Pokémon,69.0,1000000.0,3.5,60.0,Arbokアーボック,Arbok,50.0,24.0,65.0,79.0,80.0,poison,,65.0,1.0,0.0,24.0,Arbok,438.0,60.0,85.0,69.0,80.0,1.0,0.0,65.0,79.0,Poison,
24,"['Static', 'Lightningrod']",1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,55.0,2560.0,70.0,320.0,190,Mouse Pokémon,40.0,1000000.0,0.4,35.0,Pikachuピカチュウ,Pikachu,50.0,25.0,50.0,50.0,90.0,electric,,6.0,1.0,0.0,25.0,Pikachu,320.0,35.0,55.0,40.0,90.0,1.0,0.0,50.0,50.0,Electric,
25,"['Static', 'Lightningrod', 'Surge Surfer']",1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,85.0,2560.0,70.0,485.0,75,Mouse Pokémon,50.0,1000000.0,,60.0,Raichuライチュウ,Raichu,50.0,26.0,95.0,85.0,110.0,electric,electric,,1.0,0.0,26.0,Raichu,485.0,60.0,90.0,55.0,110.0,1.0,0.0,90.0,80.0,Electric,
26,"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']",1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,75.0,5120.0,70.0,300.0,255,Mouse Pokémon,90.0,1000000.0,,50.0,Sandサンド,Sandshrew,50.0,27.0,10.0,35.0,40.0,ground,ice,,1.0,0.0,27.0,Sandshrew,300.0,50.0,75.0,85.0,40.0,1.0,0.0,20.0,30.0,Ground,
27,"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']",1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,100.0,5120.0,70.0,450.0,90,Mouse Pokémon,120.0,1000000.0,,75.0,Sandpanサンドパン,Sandslash,50.0,28.0,25.0,65.0,65.0,ground,ice,,1.0,0.0,28.0,Sandslash,450.0,75.0,100.0,110.0,65.0,1.0,0.0,45.0,55.0,Ground,
28,"['Poison Point', 'Rivalry', 'Hustle']",0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,47.0,5120.0,70.0,275.0,235,Poison Pin Pokémon,52.0,1059860.0,0.4,55.0,Nidoran?ニドラン♀,Nidoran♀,0.0,29.0,40.0,40.0,41.0,poison,,7.0,1.0,0.0,29.0,Nidoran♀,275.0,55.0,47.0,52.0,41.0,1.0,0.0,40.0,40.0,Poison,
29,"['Poison Point', 'Rivalry', 'Hustle']",0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,62.0,5120.0,70.0,365.0,120,Poison Pin Pokémon,67.0,1059860.0,0.8,70.0,Nidorinaニドリーナ,Nidorina,0.0,30.0,55.0,55.0,56.0,poison,,20.0,1.0,0.0,30.0,Nidorina,365.0,70.0,62.0,67.0,56.0,1.0,0.0,55.0,55.0,Poison,
30,"['Poison Point', 'Rivalry', 'Sheer Force']",0.5,1.0,1.0,0.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.25,2.0,0.5,1.0,2.0,92.0,5120.0,70.0,505.0,45,Drill Pokémon,87.0,1059860.0,1.3,90.0,Nidoqueenニドクイン,Nidoqueen,0.0,31.0,75.0,85.0,76.0,poison,ground,60.0,1.0,0.0,31.0,Nidoqueen,505.0,90.0,92.0,87.0,76.0,1.0,0.0,75.0,85.0,Poison,Ground
31,"['Poison Point', 'Rivalry', 'Hustle']",0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,57.0,5120.0,70.0,273.0,235,Poison Pin Pokémon,40.0,1059860.0,0.5,46.0,Nidoran?ニドラン♂,Nidoran♂,100.0,32.0,40.0,40.0,50.0,poison,,9.0,1.0,0.0,32.0,Nidoran♂,273.0,46.0,57.0,40.0,50.0,1.0,0.0,40.0,40.0,Poison,
32,"['Poison Point', 'Rivalry', 'Hustle']",0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,72.0,5120.0,70.0,365.0,120,Poison Pin Pokémon,57.0,1059860.0,0.9,61.0,Nidorinoニドリーノ,Nidorino,100.0,33.0,55.0,55.0,65.0,poison,,19.5,1.0,0.0,33.0,Nidorino,365.0,61.0,72.0,57.0,65.0,1.0,0.0,55.0,55.0,Poison,
33,"['Poison Point', 'Rivalry', 'Sheer Force']",0.5,1.0,1.0,0.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.25,2.0,0.5,1.0,2.0,102.0,5120.0,70.0,505.0,45,Drill Pokémon,77.0,1059860.0,1.4,81.0,Nidokingニドキング,Nidoking,100.0,34.0,85.0,75.0,85.0,poison,ground,62.0,1.0,0.0,34.0,Nidoking,505.0,81.0,102.0,77.0,85.0,1.0,0.0,85.0,75.0,Poison,Ground
34,"['Cute Charm', 'Magic Guard', 'Friend Guard']",0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,45.0,2560.0,140.0,323.0,150,Fairy Pokémon,48.0,800000.0,0.6,70.0,Pippiピッピ,Clefairy,24.6,35.0,60.0,65.0,35.0,fairy,,7.5,1.0,0.0,35.0,Clefairy,323.0,70.0,45.0,48.0,35.0,1.0,0.0,60.0,65.0,Fairy,
35,"['Cute Charm', 'Magic Guard', 'Unaware']",0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,70.0,2560.0,140.0,483.0,25,Fairy Pokémon,73.0,800000.0,1.3,95.0,Pixyピクシー,Clefable,24.6,36.0,95.0,90.0,60.0,fairy,,40.0,1.0,0.0,36.0,Clefable,483.0,95.0,70.0,73.0,60.0,1.0,0.0,95.0,90.0,Fairy,
36,"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,41.0,5120.0,70.0,299.0,190,Fox Pokémon,40.0,1000000.0,,38.0,Rokonロコン,Vulpix,24.6,37.0,50.0,65.0,65.0,fire,ice,,1.0,0.0,37.0,Vulpix,299.0,38.0,41.0,40.0,65.0,1.0,0.0,50.0,65.0,Fire,
37,"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,67.0,5120.0,70.0,505.0,75,Fox Pokémon,75.0,1000000.0,,73.0,Kyukonキュウコン,Ninetales,24.6,38.0,81.0,100.0,109.0,fire,ice,,1.0,0.0,38.0,Ninetales,505.0,73.0,76.0,75.0,100.0,1.0,0.0,81.0,100.0,Fire,
38,"['Cute Charm', 'Competitive', 'Friend Guard']",0.5,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,45.0,2560.0,70.0,270.0,170,Balloon Pokémon,20.0,800000.0,0.5,115.0,Purinプリン,Jigglypuff,24.6,39.0,45.0,25.0,20.0,normal,fairy,5.5,1.0,0.0,39.0,Jigglypuff,270.0,115.0,45.0,20.0,20.0,1.0,0.0,45.0,25.0,Normal,Fairy
39,"['Cute Charm', 'Competitive', 'Frisk']",0.5,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,70.0,2560.0,70.0,435.0,50,Balloon Pokémon,45.0,800000.0,1.0,140.0,Pukurinプクリン,Wigglytuff,24.6,40.0,85.0,50.0,45.0,normal,fairy,12.0,1.0,0.0,40.0,Wigglytuff,435.0,140.0,70.0,45.0,45.0,1.0,0.0,85.0,50.0,Normal,Fairy
40,"['Inner Focus', 'Infiltrator']",0.25,1.0,1.0,2.0,0.5,0.25,1.0,1.0,1.0,0.25,0.0,2.0,1.0,0.5,2.0,2.0,1.0,1.0,45.0,3840.0,70.0,245.0,255,Bat Pokémon,35.0,1000000.0,0.8,40.0,Zubatズバット,Zubat,50.0,41.0,30.0,40.0,55.0,poison,flying,7.5,1.0,0.0,41.0,Zubat,245.0,40.0,45.0,35.0,55.0,1.0,0.0,30.0,40.0,Poison,Flying
41,"['Inner Focus', 'Infiltrator']",0.25,1.0,1.0,2.0,0.5,0.25,1.0,1.0,1.0,0.25,0.0,2.0,1.0,0.5,2.0,2.0,1.0,1.0,80.0,3840.0,70.0,455.0,90,Bat Pokémon,70.0,1000000.0,1.6,75.0,Golbatゴルバット,Golbat,50.0,42.0,65.0,75.0,90.0,poison,flying,55.0,1.0,0.0,42.0,Golbat,455.0,75.0,80.0,70.0,90.0,1.0,0.0,65.0,75.0,Poison,Flying
42,"['Chlorophyll', 'Run Away']",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,50.0,5120.0,70.0,320.0,255,Weed Pokémon,55.0,1059860.0,0.5,45.0,Nazonokusaナゾノクサ,Oddish,50.0,43.0,75.0,65.0,30.0,grass,poison,5.4,1.0,0.0,43.0,Oddish,320.0,45.0,50.0,55.0,30.0,1.0,0.0,75.0,65.0,Grass,Poison
43,"['Chlorophyll', 'Stench']",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,65.0,5120.0,70.0,395.0,120,Weed Pokémon,70.0,1059860.0,0.8,60.0,Kusaihanaクサイハナ,Gloom,50.0,44.0,85.0,75.0,40.0,grass,poison,8.6,1.0,0.0,44.0,Gloom,395.0,60.0,65.0,70.0,40.0,1.0,0.0,85.0,75.0,Grass,Poison
44,"['Chlorophyll', 'Effect Spore']",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,80.0,5120.0,70.0,490.0,45,Flower Pokémon,85.0,1059860.0,1.2,75.0,Ruffresiaラフレシア,Vileplume,50.0,45.0,110.0,90.0,50.0,grass,poison,18.6,1.0,0.0,45.0,Vileplume,490.0,75.0,80.0,85.0,50.0,1.0,0.0,110.0,90.0,Grass,Poison
45,"['Effect Spore', 'Dry Skin', 'Damp']",2.0,1.0,1.0,0.5,1.0,0.5,4.0,4.0,1.0,0.25,0.25,2.0,1.0,2.0,1.0,2.0,1.0,0.5,70.0,5120.0,70.0,285.0,190,Mushroom Pokémon,55.0,1000000.0,0.3,35.0,Parasパラス,Paras,50.0,46.0,45.0,55.0,25.0,bug,grass,5.4,1.0,0.0,46.0,Paras,285.0,35.0,70.0,55.0,25.0,1.0,0.0,45.0,55.0,Bug,Grass
46,"['Effect Spore', 'Dry Skin', 'Damp']",2.0,1.0,1.0,0.5,1.0,0.5,4.0,4.0,1.0,0.25,0.25,2.0,1.0,2.0,1.0,2.0,1.0,0.5,95.0,5120.0,70.0,405.0,75,Mushroom Pokémon,80.0,1000000.0,1.0,60.0,Parasectパラセクト,Parasect,50.0,47.0,60.0,80.0,30.0,bug,grass,29.5,1.0,0.0,47.0,Parasect,405.0,60.0,95.0,80.0,30.0,1.0,0.0,60.0,80.0,Bug,Grass
47,"['Compoundeyes', 'Tinted Lens', 'Run Away']",0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,55.0,5120.0,70.0,305.0,190,Insect Pokémon,50.0,1000000.0,1.0,60.0,Kongpangコンパン,Venonat,50.0,48.0,40.0,55.0,45.0,bug,poison,30.0,1.0,0.0,48.0,Venonat,305.0,60.0,55.0,50.0,45.0,1.0,0.0,40.0,55.0,Bug,Poison
48,"['Shield Dust', 'Tinted Lens', 'Wonder Skin ']",0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,65.0,5120.0,70.0,450.0,75,Poison Moth Pokémon,60.0,1000000.0,1.5,70.0,Morphonモルフォン,Venomoth,50.0,49.0,90.0,75.0,90.0,bug,poison,12.5,1.0,0.0,49.0,Venomoth,450.0,70.0,65.0,60.0,90.0,1.0,0.0,90.0,75.0,Bug,Poison
49,"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']",1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,55.0,5120.0,70.0,265.0,255,Mole Pokémon,30.0,1000000.0,,10.0,Digdaディグダ,Diglett,50.0,50.0,35.0,45.0,90.0,ground,ground,,1.0,0.0,50.0,Diglett,265.0,10.0,55.0,25.0,95.0,1.0,0.0,35.0,45.0,Ground,
50,"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']",1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,100.0,5120.0,70.0,425.0,50,Mole Pokémon,60.0,1000000.0,,35.0,Dugtrioダグトリオ,Dugtrio,50.0,51.0,50.0,70.0,110.0,ground,ground,,1.0,0.0,51.0,Dugtrio,405.0,35.0,80.0,50.0,120.0,1.0,0.0,50.0,70.0,Ground,
51,"['Pickup', 'Technician', 'Unnerve', 'Pickup', 'Technician', 'Rattled']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,35.0,5120.0,70.0,290.0,255,Scratch Cat Pokémon,35.0,1000000.0,,40.0,Nyarthニャース,Meowth,50.0,52.0,50.0,40.0,90.0,normal,dark,,1.0,0.0,52.0,Meowth,290.0,40.0,45.0,35.0,90.0,1.0,0.0,40.0,40.0,Normal,
52,"['Limber', 'Technician', 'Unnerve', 'Fur Coat', 'Technician', 'Rattled']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,60.0,5120.0,70.0,440.0,90,Classy Cat Pokémon,60.0,1000000.0,,65.0,Persianペルシアン,Persian,50.0,53.0,75.0,65.0,115.0,normal,dark,,1.0,0.0,53.0,Persian,440.0,65.0,70.0,60.0,115.0,1.0,0.0,65.0,65.0,Normal,
